TransactionID,isFraud,TransactionDT,TransactionAmt,card1
3000000,0,86654,3.3633074801895986,4643
3000001,0,86888,24.177253333508002,2074
3000002,0,87331,39.08129554760668,9050
3000003,0,87630,277.24877166730903,16523
3000004,0,87679,13.655726299404714,11859
3000005,0,87985,57.43174433332771,4604
3000006,0,88117,35.387812793588665,1602
3000007,1,88196,17.827366500884857,6328
3000008,0,88211,64.19802591410931,10274
3000009,1,88314,143.643229537628,7998
3000010,0,88346,39.035523903976696,4841
3000011,0,88595,101.13011366500903,4722
3000012,0,88626,73.22896241269201,15429
3000013,0,88751,99.0907515611528,4585
3000014,0,88847,7.639253141402058,14289
3000015,0,88966,22.728651900180562,4540
3000016,1,89207,20.380081323194958,13575
3000017,1,89221,73.50292104782969,7411
3000018,0,89556,22.88377657535807,8546
3000019,0,90322,23.584759939868164,4319
3000020,1,90552,133.29538983044304,17419
3000021,0,90560,38.85441368273261,7247
3000022,0,90680,16.851338419356075,7490
3000023,1,90968,30.997435910327276,12979
3000024,0,91007,6.549272011718542,15667
3000025,0,91034,68.75550649987778,12419
3000026,0,91095,71.04534372501733,9879
3000027,0,91384,48.497967909522814,4856
3000028,0,91557,7.025043566069113,3551
3000029,1,91565,135.04794254765545,6977
3000030,0,91593,26.775793337737987,14261
3000031,0,91930,21.871619451691497,4610
3000032,0,92241,81.48405793807099,5100
3000033,0,92423,50.163684171840615,12980
3000034,0,92518,20.17778647770779,5565
3000035,0,93359,40.405147977554094,9509
3000036,0,93597,16.587499143610223,7860
3000037,1,93604,21.597299343859582,13304
3000038,0,94165,17.63461254514262,17694
3000039,0,95375,2.9158968263828555,9438
3000040,0,95425,4.538806639354707,8242
3000041,0,95705,27.921600477377524,15917
3000042,0,95716,49.80295055906205,14286
3000043,1,96014,56.687183285987516,12885
3000044,0,96117,19.713091022186624,4278
3000045,1,96155,90.42983365971929,2773
3000046,0,96164,31.98560165253169,9766
3000047,1,96198,30.339118256983294,15491
3000048,0,96894,5.5542643814297,3165
3000049,0,97044,14.851831390360537,12785
3000050,0,97408,14.111736210206466,10230
3000051,0,98183,162.95441713296478,5552
3000052,0,98419,26.22983736141491,9495
3000053,0,98618,49.09730499562319,6241
3000054,1,98696,16.91231439303357,5998
3000055,1,98754,13.902503352342974,6582
3000056,0,98903,164.63004537722327,17025
3000057,0,99116,3.419851155231738,4312
3000058,0,99778,2.6744775131351597,11126
3000059,0,100177,12.299782113233668,6920
3000060,0,100221,6.219070170940011,9854
3000061,0,100236,100.45078290843831,6374
3000062,0,100281,13.188332356758774,4891
3000063,0,100492,87.81621078681293,3300
3000064,1,100658,10.878188290597006,5837
3000065,0,101312,89.96722548064837,17063
3000066,0,101607,15.066131112572839,3048
3000067,1,101841,221.430442380606,2531
3000068,0,102037,74.37513231956464,7230
3000069,1,102288,10.604532638858446,10512
3000070,0,102399,117.59265433637029,17129
3000071,0,102591,4.978630553182927,2632
3000072,1,103068,112.491482968256,1791
3000073,1,103085,12.64900225017785,1770
3000074,0,103499,18.816793997357273,17281
3000075,0,103505,51.89946863643472,12841
3000076,1,103608,21.464357304596497,3346
3000077,1,103761,14.27697699484544,8523
3000078,1,103863,80.08128805204761,13117
3000079,0,104010,59.05171735408117,10486
3000080,0,104116,42.1979342919612,3364
3000081,0,104411,5.373470857661668,17759
3000082,0,104689,36.57466209169386,2544
3000083,1,104954,66.23632368621763,13023
3000084,0,105035,107.2038267035976,14030
3000085,0,105229,20.633131897981244,1979
3000086,1,105255,10.394513570844037,3513
3000087,1,105689,191.26273979015417,6672
3000088,0,105754,12.829424674000709,1601
3000089,1,105954,126.35875682175322,8338
3000090,1,106087,33.9189558276552,1806
3000091,0,107245,44.96540268697225,7971
3000092,0,107735,70.34429298543886,9217
3000093,0,107765,97.42359786283644,3741
3000094,0,108171,108.77161233380706,5143
3000095,0,108580,1.0643096845064626,12701
3000096,1,108595,125.41655804022851,14763
3000097,0,108615,65.6968929686176,2087
3000098,0,108741,7.418516267964797,15027
3000099,0,108805,1.3411285322848538,5388
3000100,0,108882,6.634594390440017,8690
3000101,0,109144,44.8764784136027,5345
3000102,0,109146,7.63488979544512,9422
3000103,1,109161,153.17780810828336,8821
3000104,1,109162,33.43928243441385,12837
3000105,0,109291,11.224937614782291,15089
3000106,1,109431,15.436799869591617,14695
3000107,0,109787,19.60641667833017,10776
3000108,0,109884,93.3501897259662,2609
3000109,0,110020,40.16568563822475,5400
3000110,1,110481,2.292370608789081,2976
3000111,0,110682,95.92960458961657,2249
3000112,0,111192,16.030238748375584,8675
3000113,1,111467,101.2491198423801,3176
3000114,0,111474,59.32772789565994,16011
3000115,0,111992,17.55239365083781,12710
3000116,0,112024,257.8344491236506,13765
3000117,0,112122,130.25650239590968,10062
3000118,1,112275,61.12089650273808,13417
3000119,0,112283,56.85865463305807,2548
3000120,0,112349,101.10950314021278,2172
3000121,1,112397,73.59112014860642,16702
3000122,0,112655,0.6967070138239188,10801
3000123,0,112920,92.1723256404239,9831
3000124,0,113256,65.53672199976056,8633
3000125,0,113648,33.01937767565571,14529
3000126,0,113683,2.0601542871767946,8638
3000127,0,113688,32.97680601629883,11905
3000128,0,113977,17.198372003935116,13051
3000129,0,114052,86.66378446433075,7622
3000130,1,114107,150.51159907284287,16269
3000131,0,114234,10.682374579717942,3266
3000132,0,114434,1.100388407535496,11891
3000133,0,114523,9.11158463190404,16595
3000134,0,114770,0.8136109239200745,12820
3000135,0,114935,12.539225140150897,10437
3000136,0,115085,16.972826289644548,13321
3000137,0,115206,0.9768989083535176,14041
3000138,0,115881,28.51045334988949,11590
3000139,0,115893,13.972428283070728,8369
3000140,1,116144,62.875580074445814,13162
3000141,1,116276,12.40125907330122,2228
3000142,0,116517,116.28288993574816,6240
3000143,0,116806,41.22633982554844,14100
3000144,1,117215,17.907252524253607,13232
3000145,1,117297,13.260951400185899,1513
3000146,0,117528,145.16360751031965,12129
3000147,1,117706,233.36016133455627,9398
3000148,1,118646,35.834277571253445,6465
3000149,0,118994,6.4464911686194215,15443
3000150,1,119240,13.357581134564336,10607
3000151,0,119729,25.68850404774747,10451
3000152,0,120035,5.701255317382922,9329
3000153,0,120088,25.580943091363462,2440
3000154,0,120107,34.60301053836568,7517
3000155,0,120292,25.765314238066832,17980
3000156,1,120344,10.682495156730832,15571
3000157,0,120424,32.48461413085651,6976
3000158,0,120816,42.92538596891545,7204
3000159,1,121558,39.62386537114648,3632
3000160,0,121941,130.55697340391737,17783
3000161,1,122012,3.434376414292057,4454
3000162,1,122111,13.740146684814109,13408
3000163,0,122516,24.18658596074733,9643
3000164,1,122541,82.96144625619851,14387
3000165,1,122696,5.7993720092567465,14567
3000166,0,123112,3.8283390063037026,14979
3000167,1,123484,84.7009183757482,4726
3000168,0,123579,27.215588458312972,3441
3000169,0,124214,144.26855813292778,3128
3000170,0,124589,25.958041981785417,3992
3000171,0,124662,4.782298903021408,13548
3000172,1,124664,1.5946017481267158,14928
3000173,1,124779,109.90716881581758,17015
3000174,1,125064,60.70544705001936,15032
3000175,0,125517,51.61220909803339,14085
3000176,0,125770,15.129288627400825,1051
3000177,0,126112,2.629702082572153,11500
3000178,1,126159,189.04694112088592,4981
3000179,0,126254,36.84135056165396,5488
3000180,1,126652,5.338730431399535,9587
3000181,0,126739,14.130442036864693,3265
3000182,0,127162,22.549001355650386,4507
3000183,1,127306,23.733984313161212,1537
3000184,1,127490,75.82885643989393,3279
3000185,0,127675,6.918095075539524,6332
3000186,0,127689,307.4970456633127,13374
3000187,0,127712,23.38090664218803,6171
3000188,0,128212,12.820866325535226,1463
3000189,1,128238,34.999425021137085,12193
3000190,0,128826,14.711720397156816,4015
3000191,0,128839,166.63311222236922,8816
3000192,0,129607,9.254854205711068,15009
3000193,0,129753,21.419591213454638,11175
3000194,0,129765,7.053646668235307,17965
3000195,0,129817,27.427892093463225,3012
3000196,0,129819,4.300961546660972,13287
3000197,0,130932,32.12399611110616,3505
3000198,0,131575,24.7012359774757,16533
3000199,1,131633,64.3106515142358,12442
3000200,1,131865,66.17627766336226,5028
3000201,1,131884,219.04948710355998,3365
3000202,1,131886,3.4648260145975933,14714
3000203,1,131986,116.25023811911561,17079
3000204,0,132305,11.143364704266052,14363
3000205,0,132921,46.00231682849744,12379
3000206,0,133764,118.93304710909011,7318
3000207,0,133898,57.066161120864415,8189
3000208,0,133899,54.359093492512855,2095
3000209,0,134499,17.357737076412214,4296
3000210,0,134871,73.02279778309156,16665
3000211,1,135107,88.0424105173726,17908
3000212,0,135123,17.963618168612086,6654
3000213,0,135170,8.53557976354883,15697
3000214,0,135256,10.262212330439446,13410
3000215,1,135324,89.78120563709747,3514
3000216,0,135379,81.89570306579293,9102
3000217,0,135515,38.75635425358628,14226
3000218,0,135572,102.54904134756273,11698
3000219,1,135726,58.57468852705917,13464
3000220,0,136139,1.5348994382230996,12265
3000221,0,136410,131.53026873682725,1508
3000222,1,136853,47.295137695179,7966
3000223,1,137247,27.354138186479567,17185
3000224,0,137396,13.926465141550256,16597
3000225,1,137456,51.674172193533444,14902
3000226,0,137845,12.99527111274921,8136
3000227,0,137937,81.05726868221275,1656
3000228,0,138085,34.28126466537192,7938
3000229,0,138160,37.96489836439913,15286
3000230,0,138197,161.04676213696908,6080
3000231,0,138242,21.371276912509718,12861
3000232,0,138644,147.0331732291048,14238
3000233,1,138872,144.13338768198776,4709
